iter	MultiClass
188	0.273426197
189	0.2723091069
190	0.2705377122
191	0.2686846799
192	0.2672879232
193	0.2655897632
194	0.2641857387
195	0.2625771655
196	0.2612352466
197	0.2592560756
198	0.2578170688
199	0.2564980358
200	0.2549636028
201	0.2538897807
202	0.2522330369
203	0.2504990237
204	0.2490699094
205	0.2474460584
206	0.2463191582
207	0.2451708176
208	0.2439217554
209	0.2429008567
210	0.2418801654
211	0.2408876525
212	0.2395258795
213	0.2383494743
214	0.237230863
215	0.2360926741
216	0.234874284
217	0.23381895
218	0.2327290863
219	0.2314028734
220	0.2299276727
221	0.2287332178
222	0.227696136
223	0.2266273561
224	0.2255200604
225	0.2242310768
226	0.2233957527
227	0.2219258994
228	0.2205596596
229	0.2193721014
230	0.2183042406
231	0.217542789
232	0.2161857749
233	0.2150385403
234	0.2140822511
235	0.2131437202
236	0.2118511948
237	0.2109411816
238	0.2099828011
239	0.208994363
240	0.2078485615
241	0.206927758
242	0.205999784
243	0.2052105397
244	0.2041822478
245	0.2031808981
246	0.2021726041
247	0.2012741916
248	0.2001206769
249	0.1988527893
250	0.1977161463
251	0.1968704511
252	0.1960437418
253	0.1949810616
254	0.1940099911
255	0.1928684647
256	0.192029965
257	0.1909868366
258	0.1901303636
259	0.1892816511
260	0.1885254933
261	0.1876043963
262	0.1869540359
263	0.18641739
264	0.1851918717
265	0.1841858121
266	0.1833618245
267	0.1827021053
268	0.1820523491
269	0.1812362452
270	0.1808753459
271	0.18007518
272	0.1791771002
273	0.1781774414
274	0.1775708945
275	0.1770316822
276	0.1761819065
277	0.1752213092
278	0.1741249737
279	0.1734168134
280	0.1727260426
281	0.1719974968
282	0.1712196737
283	0.1704854835
284	0.1697401881
285	0.1688173016
286	0.1679068464
287	0.1669133749
288	0.166306085
289	0.1656905801
290	0.1647518924
291	0.1638493858
292	0.1633506839
293	0.16282687
294	0.1621092608
295	0.1613725553
296	0.1607798291
297	0.1603016376
298	0.1594681953
299	0.1585873775
300	0.1578581594
301	0.1569931552
302	0.1564713336
303	0.1559753461
304	0.1549652185
305	0.1543089295
306	0.1537524105
307	0.1530883027
308	0.1526791436
309	0.1520672414
310	0.1512247926
311	0.1505377708
312	0.1499358559
313	0.1493997428
314	0.1488960113
315	0.1483807927
316	0.1477056763
317	0.1467720008
318	0.1461060256
319	0.1453101168
320	0.1447156852
321	0.1438381639
322	0.1433227714
323	0.1426023889
324	0.1422103284
325	0.1416451604
326	0.1410363231
327	0.1403820794
328	0.139831108
329	0.1389985932
330	0.13840774
331	0.1378868113
332	0.1375791934
333	0.1368703577
334	0.1365145485
335	0.1361380632
336	0.135645927
337	0.1348964046
338	0.1341455532
339	0.1335630823
340	0.1330878268
341	0.1326085841
342	0.1319871614
343	0.1312441639
344	0.1306859174
345	0.1302427628
346	0.1297063261
347	0.1290601781
348	0.1285614658
349	0.1279357336
350	0.1272751034
351	0.1267587807
352	0.1262862597
353	0.1257242245
354	0.1253008852
355	0.1247123928
356	0.1241623322
357	0.1238433285
358	0.1232762755
359	0.1228192861
360	0.1220760361
361	0.1217801625
362	0.1211269543
363	0.1206310394
364	0.1201203371
365	0.1197378364
366	0.1191675199
367	0.118667915
368	0.1181585134
369	0.1176438084
370	0.1172747272
371	0.116660407
372	0.1163451654
373	0.1160066332
374	0.1155071574
375	0.1149183339
376	0.1147047592
377	0.1141997382
378	0.1137776186
379	0.1133341303
380	0.1130315329
381	0.1126227472
382	0.1119764506
383	0.111531288
384	0.110916069
385	0.110545688
386	0.1101642471
387	0.1097968309
388	0.1094183446
389	0.1089628773
390	0.1083635834
391	0.1077904737
392	0.1073016634
393	0.1067287653
394	0.1062370049
395	0.1059091837
396	0.1054123228
397	0.1050652893
398	0.104646381
399	0.1042978512
400	0.1039484574
401	0.1036466548
402	0.1033799151
403	0.1029272102
404	0.1024310585
405	0.1020108724
406	0.1018190236
407	0.1013167499
408	0.1008084476
409	0.100512505
410	0.100120028
411	0.099773029
412	0.09923423951
413	0.09880961426
414	0.09841221801
415	0.09811760637
416	0.09787340068
417	0.09753173441
418	0.09711104382
419	0.09673108947
420	0.09632952327
421	0.09606422348
422	0.09577033818
423	0.09534768765
424	0.09494131147
425	0.09452952475
426	0.09418805222
427	0.09375016417
428	0.09351240698
429	0.09329499379
430	0.09299588404
431	0.09278812708
432	0.09232830525
433	0.09201681351
434	0.09157308908
435	0.09128999809
436	0.09104102289
437	0.09065278473
438	0.09034934553
439	0.09002712342
440	0.08973368564
441	0.08946990554
442	0.08918473152
443	0.08887421054
444	0.0886020744
445	0.08824923901
446	0.08795864
447	0.08753187108
448	0.08736303057
449	0.08707782623
450	0.08674932423
451	0.08643388353
452	0.0861141665
453	0.08575706097
454	0.08545573595
455	0.08529653465
456	0.08497365273
457	0.08471276572
458	0.08440407727
459	0.08410290422
460	0.08374434931
461	0.08346898656
462	0.08328092919
463	0.08297595279
464	0.08263471394
465	0.08238029074
466	0.08211155612
467	0.08166053881
468	0.08141219408
469	0.08109345898
470	0.08087617747
471	0.08056028407
472	0.08022386108
473	0.07998730126
474	0.07968036151
475	0.07941000289
476	0.07904057089
477	0.07879961539
478	0.07848540422
479	0.07819037656
480	0.07786773046
481	0.07750239603
482	0.07720753414
483	0.07686263439
484	0.07665935659
485	0.07641669697
486	0.07608122757
487	0.07584732867
488	0.075627503
489	0.07540773376
490	0.07519466238
491	0.07486172567
492	0.07456794281
493	0.07430733421
494	0.07404899955
495	0.07382602265
496	0.07361836161
497	0.07335609193
498	0.0731263473
499	0.07293895177
500	0.07269259021
501	0.0724186295
502	0.07214664078
503	0.07193882907
504	0.07168290158
505	0.07142694782
506	0.07117739325
507	0.07097026592
508	0.07072067639
509	0.07050097761
510	0.0702175237
511	0.06994494493
512	0.06970199947
513	0.06938122256
514	0.06915737591
515	0.06889833857
516	0.0686454536
517	0.06846298622
518	0.0682320514
519	0.06804381989
520	0.0678532536
521	0.06759667126
522	0.06737425481
523	0.06720916939
524	0.0670472263
525	0.06678843675
526	0.06658487365
527	0.06634315941
528	0.06606020337
529	0.06587425472
530	0.0656446963
531	0.0654369271
532	0.06516915933
533	0.06497194627
534	0.06480264082
535	0.06460239202
536	0.06444547895
537	0.06423266417
538	0.06402640342
539	0.06383476644
540	0.06367567604
541	0.0634534097
542	0.06327785534
543	0.06312313618
544	0.06291510011
545	0.06277093459
546	0.06254167371
547	0.06237627763
548	0.06220301861
549	0.06196630004
550	0.06174928645
551	0.06162729246
552	0.0614224092
553	0.06125767476
554	0.06106824297
555	0.06086978655
556	0.06073671349
557	0.06062891022
558	0.06041254282
559	0.06022133351
560	0.06005873262
561	0.05990425551
562	0.05962690246
563	0.0594030997
564	0.05922375823
565	0.05905780495
566	0.05890146424
567	0.05874901659
568	0.05857061095
569	0.05834450434
570	0.05813844389
571	0.05801644927
572	0.05786724719
573	0.05768095662
574	0.05753893246
575	0.05734645883
576	0.05714248472
577	0.05693762835
578	0.05676266462
579	0.0566099592
580	0.05649221413
581	0.05631974223
582	0.05614379862
583	0.05600644832
584	0.05587430907
585	0.05573931289
586	0.05555925617
587	0.05545737123
588	0.05535488735
589	0.05518525253
590	0.05507726518
591	0.05489951118
592	0.05470363813
593	0.05458715444
594	0.0544530737
595	0.05431714399
596	0.05418974148
597	0.05408802461
598	0.05397232687
599	0.05385345889
600	0.05365983196
601	0.0534867118
602	0.05336178957
603	0.05321050497
604	0.05301643966
605	0.05286593189
606	0.0526655471
607	0.05255273002
608	0.05243349924
609	0.05228804224
610	0.05216455032
611	0.05204062587
612	0.05188219929
613	0.05177252315
614	0.0517006231
615	0.05153486732
616	0.05136723483
617	0.05118640607
618	0.05106330316
619	0.05086277508
620	0.05074457925
621	0.05059310273
622	0.05045340439
623	0.05029415022
624	0.05017511838
625	0.05008144056
626	0.04997248816
627	0.04984819017
628	0.04966111225
629	0.04954765411
630	0.0493816399
631	0.04925346955
632	0.04915805867
633	0.04901344831
634	0.04890590017
635	0.04880308304
636	0.04863165501
637	0.04851035529
638	0.04838797552
639	0.04824962256
640	0.0481651852
641	0.04805657349
642	0.04795418536
643	0.04786277088
644	0.04773970274
645	0.04758873268
646	0.04745856841
647	0.04734755526
648	0.04723030678
649	0.04712744297
650	0.04702314403
651	0.04688292273
652	0.04678108387
653	0.04665706699
654	0.04653238814
655	0.04641385319
656	0.04629959646
657	0.04619730546
658	0.04607710932
659	0.04597317978
660	0.04589881116
661	0.04580367397
662	0.04570169794
663	0.04559670851
664	0.04546532736
665	0.04537098429
666	0.0452975852
667	0.04521235953
668	0.04510144129
669	0.0449786057
670	0.04488745753
671	0.04480367567
672	0.04469328874
673	0.04458938397
674	0.04447941076
675	0.04440377958
676	0.04425794912
677	0.0441793503
678	0.04406252661
679	0.04397184775
680	0.04385442128
681	0.04376207449
682	0.04364648709
683	0.04350843333
684	0.04339776775
685	0.04327339567
686	0.04317358802
687	0.0430714113
688	0.0429799557
689	0.04286110419
690	0.04277772366
691	0.04265335708
692	0.04257898191
693	0.04244118492
694	0.0423548025
695	0.04227906488
696	0.04218084951
697	0.04207959116
698	0.04193554744
699	0.04178585851
700	0.04169035935
701	0.04154256977
702	0.04142859173
703	0.04131549267
704	0.04123390786
705	0.04113231968
706	0.04101728704
707	0.04091062321
708	0.04081771091
709	0.04071172771
710	0.04063651649
711	0.04053803317
712	0.04040973365
713	0.04029239748
714	0.04016358279
715	0.0400501604
716	0.03996857619
717	0.03988746133
718	0.03977714228
719	0.03968283682
720	0.03959284294
721	0.03948743795
722	0.03941233136
723	0.03932093794
724	0.03925206945
725	0.03914674562
726	0.03905097321
727	0.03897257419
728	0.0388710471
729	0.0387829247
730	0.03869408211
731	0.03861302366
732	0.03853972567
733	0.03842299104
734	0.03831358545
735	0.03825573428
736	0.03816797548
737	0.03806617779
738	0.03799185277
739	0.03793457108
740	0.03783429909
741	0.03775590891
742	0.03765180736
743	0.03757873822
744	0.03750042891
745	0.03741083131
746	0.03733496632
747	0.03730098889
748	0.03721169123
749	0.03710266717
750	0.03701099758
751	0.03694661055
752	0.03685235651
753	0.036771498
754	0.03667603579
755	0.03658288533
756	0.03650622697
757	0.03642241021
758	0.03634188773
759	0.03627131376
760	0.03621372441
761	0.03615788492
762	0.03612582674
763	0.03603974503
764	0.03596229508
765	0.03590830555
766	0.035821891
767	0.03573782452
768	0.03569120741
769	0.03560165601
770	0.03551985852
771	0.03540770578
772	0.03532080234
773	0.03522791331
774	0.03516021422
775	0.0350904525
776	0.03502576156
777	0.03497170463
778	0.03488387518
779	0.03480984315
780	0.03472245536
781	0.03462331493
782	0.03453058058
783	0.03446263761
784	0.03435705912
785	0.03430913384
786	0.03421439584
787	0.03413234096
788	0.03407009007
789	0.03400916196
790	0.03392075993
791	0.03386587045
792	0.03380795565
793	0.03372653213
794	0.03366752047
795	0.03359742619
796	0.03353182327
797	0.03347076295
798	0.03337023164
799	0.0333085554
800	0.03322709135
801	0.03315247242
802	0.03308339068
803	0.03299970729
804	0.03291584963
805	0.03284624181
806	0.03279002204
807	0.03272674832
808	0.03268464463
809	0.0326063479
810	0.03255244713
811	0.03248008835
812	0.03239457187
813	0.03230649794
814	0.03224376444
815	0.03219306976
816	0.03210834026
817	0.03205570005
818	0.03199908369
819	0.03194749996
820	0.03186843759
821	0.03180270917
822	0.03174189078
823	0.03167679569
824	0.03164698717
825	0.03158662917
826	0.03150868167
827	0.03143101074
828	0.03135227423
829	0.03128447445
830	0.03121714961
831	0.03112412323
832	0.03105764288
833	0.03097602534
834	0.03092830602
835	0.03086260202
836	0.03079110359
837	0.03072803154
838	0.0306583843
839	0.03059854064
840	0.03051968895
841	0.03047728893
842	0.0304130451
843	0.03033214846
844	0.03026936714
845	0.03022218999
846	0.03016729834
847	0.03010376442
848	0.03005491223
849	0.03000001441
850	0.02993385754
851	0.02986153416
852	0.02982156484
853	0.02978790411
854	0.02974189968
855	0.02968052994
856	0.02962556752
857	0.02957119448
858	0.02952816894
859	0.02948459457
860	0.02945543758
861	0.02940626436
862	0.02936369357
863	0.0293016357
864	0.02924877241
865	0.02919060915
866	0.02914407365
867	0.02910516449
868	0.02904494393
869	0.02899335913
870	0.02894341053
871	0.02887281561
872	0.02883464406
873	0.02878292864
874	0.02873462167
875	0.02868451451
876	0.028650577
877	0.02862943862
878	0.02857110489
879	0.02853007668
880	0.0284890937
881	0.02843688813
882	0.0283728183
883	0.02833673425
884	0.02827526555
885	0.02820857759
886	0.02816806172
887	0.02812481662
888	0.02808099846
889	0.02803433468
890	0.02800102809
891	0.02795010125
892	0.02789337328
893	0.02783087791
894	0.02776853812
895	0.02771560931
896	0.02766836849
897	0.02762346582
898	0.02757307257
899	0.02752183628
900	0.02745656618
901	0.027398964
902	0.02733455845
903	0.0272991607
904	0.02723886279
905	0.0271876145
906	0.02713631517
907	0.0270978876
908	0.02706060978
909	0.02700415209
910	0.02693128594
911	0.02688706435
912	0.02684980308
913	0.02683483261
914	0.02677526307
915	0.02672988729
916	0.02667630612
917	0.02662300035
918	0.02657890444
919	0.02652177242
920	0.0264927113
921	0.0264337372
922	0.0263878486
923	0.02634034445
924	0.0262996949
925	0.02625335514
926	0.02619893194
927	0.02615240729
928	0.02609522865
929	0.02604251048
930	0.02598970572
931	0.02594096484
932	0.02590809497
933	0.02585746003
934	0.02581625138
935	0.02575909229
936	0.02572761251
937	0.02568451528
938	0.0256237599
939	0.02558476275
940	0.02553778644
941	0.02549020988
942	0.02545280502
943	0.02540581266
944	0.02535581126
945	0.0253006025
946	0.02525599678
947	0.02519531909
948	0.02514137395
949	0.02509779132
950	0.02503833103
951	0.02500626826
952	0.02496223361
953	0.02492189689
954	0.0248647557
955	0.02480397374
956	0.02475457539
957	0.02468094299
958	0.02463521926
959	0.02457993338
960	0.02454120299
961	0.024492704
962	0.02445206811
963	0.02440112779
964	0.02436200391
965	0.02430460879
966	0.02426515828
967	0.02423201511
968	0.02419083423
969	0.0241563769
970	0.02409426132
971	0.02405470923
972	0.02401849406
973	0.02397059191
974	0.02391876445
975	0.02388099333
976	0.02382919776
977	0.02379999478
978	0.02376879005
979	0.02371993157
980	0.02369189041
981	0.02365041663
982	0.02360281529
983	0.02354654224
984	0.02351451659
985	0.02346087222
986	0.02342472343
987	0.02339297162
988	0.02335151655
989	0.0233239857
990	0.02328582112
991	0.02324327879
992	0.02320293919
993	0.02315580045
994	0.02312338494
995	0.02308127518
996	0.02304700609
997	0.02299297151
998	0.02296233685
999	0.02292300248
