iter	Passed	Remaining
242	65979	205540
243	66228	205201
244	66477	204860
245	66826	204825
246	67088	204523
247	67359	204251
248	67625	203962
249	67874	203622
250	68129	203302
251	68414	203072
252	68685	202797
253	68954	202520
254	69201	202176
255	69476	201915
256	69735	201608
257	70001	201322
258	70270	201044
259	70536	200758
260	70806	200484
261	71053	200142
262	71310	199832
263	71552	199480
264	71801	199148
265	72063	198851
266	72320	198542
267	72601	198299
268	72867	198014
269	73117	197687
270	73373	197376
271	73655	197137
272	73920	196851
273	74184	196561
274	74437	196245
275	74704	195964
276	74967	195672
277	75231	195385
278	75488	195079
279	75738	194755
280	75979	194410
281	76233	194097
282	76477	193760
283	76723	193429
284	76993	193160
285	77264	192890
286	77531	192611
287	77804	192350
288	78072	192074
289	78316	191739
290	78588	191475
291	78862	191215
292	79126	190929
293	79395	190656
294	79650	190350
295	79909	190054
296	80153	189722
297	80415	189436
298	80661	189108
299	80933	188845
300	81206	188583
301	81456	188265
302	81705	187949
303	81979	187690
304	82232	187383
305	82492	187090
306	82756	186809
307	83004	186489
308	83251	186171
309	83493	185840
310	83759	185563
311	84013	185260
312	84272	184968
313	84516	184645
314	84777	184357
315	85032	184057
316	85287	183758
317	85551	183477
318	85808	183182
319	86061	182880
320	86335	182622
321	86611	182368
322	86865	182067
323	87171	181877
324	87440	181608
325	87692	181303
326	87964	181040
327	88208	180720
328	88459	180414
329	88739	180167
330	89004	179891
331	89243	179562
332	89512	179293
333	89784	179032
334	90031	178718
335	90276	178403
336	90554	178153
337	90818	177874
338	91075	177584
339	91329	177287
340	91578	176980
341	91837	176692
342	92083	176381
343	92348	176106
344	92595	175797
345	92854	175511
346	93106	175211
347	93377	174948
348	93639	174668
349	93913	174410
350	94162	174105
351	94411	173803
352	94681	173538
353	94929	173232
354	95179	172931
355	95454	172675
356	95702	172371
357	95960	172086
358	96226	171813
359	96486	171531
360	96732	171225
361	96980	170922
362	97227	170617
363	97490	170340
364	97754	170065
365	98000	169761
366	98260	169479
367	98506	169174
368	98766	168893
369	99012	168588
370	99263	168292
371	99520	168007
372	99772	167713
373	100024	167419
374	100288	167147
375	100533	166842
376	100802	166577
377	101089	166342
378	101345	166056
379	101599	165767
380	101845	165466
381	102090	165162
382	102338	164863
383	102585	164564
384	102850	164293
385	103109	164013
386	103383	163757
387	103640	163473
388	103891	163182
389	104153	162906
390	104425	162647
391	104694	162383
392	104938	162081
393	105181	161776
394	105441	161498
395	105689	161203
396	105937	160907
397	106185	160611
398	106432	160315
399	106691	160036
400	106936	159738
401	107182	159439
402	107443	159165
403	107691	158871
404	107937	158574
405	108201	158304
406	108445	158005
407	108710	157737
408	108962	157449
409	109220	157171
410	109473	156885
411	109736	156613
412	109986	156324
413	110231	156027
414	110476	155732
415	110740	155462
416	110995	155180
417	111248	154896
418	111499	154608
419	111751	154324
420	112021	154063
421	112273	153777
422	112531	153500
423	112775	153204
424	113056	152958
425	113324	152695
426	113575	152408
427	113837	152138
428	114091	151855
429	114408	151657
430	114652	151362
431	114899	151071
432	115162	150801
433	115419	150524
434	115698	150275
435	115939	149976
436	116209	149715
437	116455	149424
438	116709	149143
439	116969	148870
440	117236	148606
441	117513	148353
442	117757	148060
443	118019	147790
444	118265	147499
445	118519	147219
446	118774	146940
447	119029	146660
448	119289	146389
449	119535	146099
450	119802	145834
451	120071	145573
452	120344	145316
453	120597	145035
454	120870	144778
455	121131	144507
456	121375	144216
457	121622	143928
458	121884	143659
459	122132	143372
460	122379	143085
461	122637	142812
462	122886	142527
463	123169	142281
464	123424	142004
465	123680	141728
466	123943	141460
467	124218	141205
468	124472	140927
469	124728	140650
470	124975	140365
471	125246	140106
472	125497	139824
473	125783	139582
474	126037	139304
475	126292	139027
476	126552	138757
477	126820	138493
478	127062	138203
479	127320	137930
480	127565	137643
481	127863	137413
482	128112	137130
483	128367	136854
484	128627	136584
485	128885	136311
486	129147	136042
487	129407	135772
488	129656	135490
489	129901	135203
490	130166	134938
491	130412	134653
492	130680	134391
493	130943	134124
494	131207	133858
495	131455	133575
496	131710	133300
497	131974	133034
498	132215	132745
499	132472	132472
500	132717	132188
501	132976	131916
502	133265	131675
503	133519	131399
504	133762	131113
505	134006	130828
506	134250	130543
507	134507	130270
508	134756	129991
509	135023	129728
510	135277	129453
511	135526	129173
512	135791	128909
513	136052	128641
514	136297	128358
515	136540	128073
516	136791	127795
517	137044	127520
518	137307	127254
519	137562	126981
520	137823	126712
521	138076	126438
522	138326	126160
523	138588	125893
524	138838	125616
525	139096	125345
526	139362	125082
527	139599	124793
528	139845	124512
529	140107	124246
530	140370	123980
531	140628	123710
532	140900	123453
533	141204	123223
534	141449	122942
535	141692	122658
536	141938	122379
537	142194	122107
538	142462	121846
539	142731	121586
540	142997	121323
541	143247	121046
542	143501	120774
543	143759	120504
544	144008	120227
545	144267	119958
546	144530	119693
547	144784	119421
548	145049	119157
549	145295	118877
550	145541	118598
551	145804	118333
552	146047	118052
553	146305	117784
554	146550	117504
555	146814	117240
556	147086	116982
557	147343	116713
558	147605	116447
559	147867	116181
560	148111	115901
561	148358	115624
562	148613	115353
563	148879	115091
564	149141	114826
565	149388	114548
566	149642	114277
567	149900	114009
568	150161	113742
569	150429	113481
570	150696	113220
571	150965	112960
572	151220	112689
573	151470	112415
574	151723	112143
575	151986	111879
576	152242	111609
577	152490	111334
578	152754	111069
579	153023	110809
580	153295	110552
581	153560	110289
582	153829	110029
583	154102	109771
584	154354	109499
585	154617	109234
586	154932	109006
587	155188	108737
588	155451	108472
589	155706	108202
590	155951	107926
591	156199	107650
592	156446	107375
593	156699	107104
594	156955	106835
595	157214	106568
596	157456	106289
597	157702	106013
598	157958	105745
599	158204	105469
600	158464	105203
601	158722	104936
602	158971	104662
603	159229	104395
604	159504	104139
605	159778	103882
606	160040	103617
607	160286	103342
608	160534	103068
609	160793	102802
610	161051	102535
611	161303	102264
612	161550	101990
613	161821	101731
614	162065	101455
615	162315	101183
616	162579	100920
617	162824	100645
618	163094	100386
619	163341	100112
620	163594	99842
621	163849	99574
622	164098	99301
623	164371	99044
624	164614	98768
625	164868	98499
626	165114	98226
627	165359	97951
628	165606	97678
629	165869	97415
630	166117	97143
631	166366	96871
632	166611	96597
633	166872	96333
634	167129	96066
635	167388	95800
636	167630	95525
637	167878	95254
638	168187	95017
639	168454	94755
640	168726	94497
641	168987	94232
642	169233	93959
643	169475	93685
644	169737	93421
645	170007	93161
646	170258	92892
647	170517	92626
648	170762	92353
649	171005	92079
650	171278	91822
651	171555	91566
652	171825	91307
653	172070	91034
654	172319	90763
655	172565	90491
656	172838	90233
657	173097	89968
658	173356	89703
659	173602	89431
660	173876	89174
661	174127	88905
662	174375	88634
663	174645	88374
664	174904	88109
665	175163	87844
666	175437	87587
667	175693	87320
668	175940	87049
669	176196	86783
670	176457	86519
671	176703	86248
672	176953	85978
673	177221	85718
674	177474	85450
675	177716	85177
676	177982	84916
677	178230	84646
678	178502	84387
679	178759	84121
680	179017	83857
681	179298	83602
682	179569	83343
683	179822	83075
684	180085	82812
685	180354	82552
686	180622	82292
687	180887	82030
688	181130	81758
689	181431	81512
690	181687	81246
691	181952	80984
692	182198	80714
693	182442	80442
694	182706	80180
695	182976	79920
696	183241	79658
697	183499	79393
698	183766	79132
699	184025	78868
700	184286	78604
701	184552	78342
702	184815	78080
703	185063	77810
704	185334	77551
705	185607	77292
706	185875	77031
707	186140	76769
708	186386	76500
709	186639	76233
710	186894	75967
711	187150	75701
712	187419	75440
713	187673	75174
714	187945	74915
715	188195	74647
716	188437	74376
717	188700	74113
718	188971	73853
719	189223	73586
720	189479	73321
721	189724	73051
722	189967	72781
723	190213	72512
724	190486	72253
725	190745	71989
726	191004	71725
727	191247	71455
728	191521	71196
729	191778	70931
730	192097	70689
731	192361	70427
732	192626	70165
733	192882	69900
734	193149	69638
735	193425	69380
736	193673	69112
737	193941	68851
738	194211	68591
739	194465	68325
740	194738	68066
741	195009	67806
742	195272	67543
743	195532	67280
744	195794	67016
745	196059	66755
746	196327	66493
747	196581	66227
748	196831	65960
749	197075	65691
750	197349	65432
751	197607	65168
752	197866	64904
753	198112	64636
754	198375	64373
755	198634	64109
756	198893	63845
757	199165	63585
758	199405	63315
759	199672	63054
760	199921	62787
761	200176	62522
762	200434	62258
763	200679	61989
764	200922	61721
765	201181	61457
766	201452	61197
767	201710	60933
768	201957	60666
769	202204	60398
770	202459	60133
771	202709	59867
772	202971	59604
773	203233	59342
774	203486	59076
775	203728	58808
776	203976	58541
777	204253	58283
778	204516	58020
779	204787	57760
780	205057	57500
781	205311	57235
782	205613	56983
783	205874	56720
784	206144	56460
785	206391	56193
786	206655	55930
787	206896	55662
788	207167	55402
789	207421	55137
790	207688	54875
791	207930	54607
792	208189	54344
793	208451	54081
794	208700	53815
795	208944	53548
796	209203	53285
797	209446	53017
798	209692	52751
799	209954	52488
800	210220	52227
801	210473	51962
802	210718	51695
803	210963	51428
804	211217	51164
805	211474	50900
806	211724	50635
807	211968	50368
808	212229	50106
809	212472	49839
810	212737	49577
811	212995	49314
812	213246	49049
813	213508	48786
814	213752	48520
815	214006	48256
816	214275	47995
817	214548	47735
818	214793	47469
819	215064	47209
820	215337	46949
821	215593	46685
822	215855	46423
823	216108	46159
824	216351	45892
825	216597	45627
826	216856	45364
827	217118	45101
828	217387	44841
829	217633	44575
830	217876	44309
831	218123	44044
832	218372	43779
833	218669	43524
834	218913	43258
835	219188	42998
836	219468	42739
837	219724	42476
838	219970	42211
839	220227	41948
840	220492	41686
841	220746	41422
842	221001	41159
843	221246	40893
844	221518	40633
845	221759	40367
846	222027	40106
847	222284	39843
848	222565	39584
849	222838	39324
850	223095	39061
851	223372	38801
852	223631	38539
853	223874	38273
854	224129	38010
855	224421	37753
856	224675	37489
857	224927	37225
858	225197	36964
859	225467	36704
860	225715	36439
861	225966	36175
862	226225	35912
863	226468	35647
864	226726	35385
865	226986	35122
866	227232	34858
867	227479	34593
868	227722	34328
869	227988	34067
870	228233	33802
871	228503	33541
872	228765	33279
873	229036	33019
874	229288	32755
875	229541	32492
876	229803	32230
877	230067	31968
878	230322	31705
879	230582	31443
880	230836	31179
881	231079	30915
882	231332	30652
883	231582	30388
884	231855	30128
885	232126	29867
886	232424	29609
887	232678	29346
888	232945	29085
889	233207	28823
890	233451	28559
891	233715	28297
892	233990	28036
893	234246	27774
894	234511	27512
895	234781	27251
896	235034	26988
897	235277	26724
898	235553	26463
899	235822	26202
900	236067	25938
901	236338	25677
902	236610	25416
903	236880	25155
904	237140	24893
905	237401	24631
906	237663	24369
907	237916	24106
908	238166	23842
909	238432	23581
910	238693	23319
911	238944	23056
912	239197	22793
913	239448	22530
914	239703	22267
915	239959	22005
916	240218	21742
917	240488	21481
918	240756	21220
919	241022	20958
920	241277	20695
921	241550	20434
922	241801	20171
923	242044	19908
924	242312	19646
925	242560	19383
926	242824	19122
927	243071	18858
928	243341	18597
929	243589	18334
930	243845	18072
931	244107	17810
932	244358	17547
933	244642	17287
934	244916	17026
935	245176	16764
936	245474	16504
937	245736	16242
938	245983	15979
939	246239	15717
940	246488	15454
941	246735	15191
942	247009	14930
943	247268	14668
944	247520	14405
945	247763	14142
946	248019	13880
947	248295	13619
948	248562	13357
949	248825	13096
950	249088	12834
951	249357	12572
952	249615	12310
953	249904	12049
954	250176	11788
955	250439	11526
956	250695	11264
957	250939	11001
958	251209	10739
959	251455	10477
960	251721	10215
961	251971	9953
962	252222	9690
963	252479	9428
964	252726	9166
965	252995	8904
966	253249	8642
967	253514	8380
968	253761	8118
969	253999	7855
970	254246	7593
971	254501	7331
972	254772	7069
973	255029	6807
974	255288	6545
975	255536	6283
976	255795	6021
977	256039	5759
978	256291	5497
979	256551	5235
980	256790	4973
981	257038	4711
982	257302	4449
983	257571	4188
984	257814	3926
985	258089	3664
986	258384	3403
987	258648	3141
988	258893	2879
989	259152	2617
990	259418	2355
991	259677	2094
992	259923	1832
993	260192	1570
994	260439	1308
995	260706	1047
996	260961	785
997	261216	523
998	261471	261
999	261724	0
